date from,date to,cat,location,city,event
2014-10-09,,perf,Forum Stadtpark,Graz,Nights im Bunker - <a href='http://nightsimbunker.weblog.mur.at/'>http://nightsimbunker.weblog.mur.at/</a>
2014-10-06,,impro,Stockwerk,Graz,"STIO - Styrian Improvisers Orchestra - ""poetry minus one"" - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>"
2014-09-27,,live,club wakuum,Graz,as Henry Bootz - Kultlabor Kick-Off Party - <a href='http://www.kultlabor.at/'>http://www.kultlabor.at/</a>
2014-09-11,,dj,Dom im Berg,Graz,as Henry Bootz - Banana Rave v2 - <a href='https://www.facebook.com/kombuese.graz'>https://www.facebook.com/kombuese.graz</a>
2014-09-06,,dj,Postgarage,Graz,"as Henry Bootz - ""Worst of the 90s"" electronic floor hosted by WHOOP-WHOOP! Crew - <a href='http://www.boogeebasement.com/'>http://www.boogeebasement.com/</a>"
2014-08-31,,impro,Zagreba&#269;ki plesni centar,"Zagreb, HR",Alpenglow IV - AudioArt Festival - Styria meets Croatia - <a href='http://www.audioartfestival.com/'>http://www.audioartfestival.com/</a>  - <a href='http://vnm.mur.at'>http://vnm.mur.at</a>
2014-08-28,2014-08-30,impro,Museum of contemporary arts in Istria,"Pula, HR",Alpenglow IV - AudioArt Festival - Styria meets Croatia - <a href='http://www.audioartfestival.com/'>http://www.audioartfestival.com/</a> - <a href='http://vnm.mur.at'>http://vnm.mur.at</a>
2014-08-08,,dj,Kombüse,Graz,as Henry Bootz - <a href='https://www.facebook.com/kombuese.graz'>https://www.facebook.com/kombuese.graz</a>
2014-06-06,,dj,Luise im Kunsthaus,Graz,PARTYHAUS - with Monique Fessl - <a href='https://www.facebook.com/pages/Luise-im-Kunsthaus/496710533785651'>https://www.facebook.com/...</a>
2014-06-03,,impro,Theater im Bahnhof,Graz,STIO - Styrian Improvisers Orchestra meets Theater im Bahnhof - <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a> - <a href='http://www.theater-im-bahnhof.com/'>http://www.theater-im-bahnhof.com/</a>
2014-05-22,,dj,Luise im Kunsthaus,Graz,PR-Panther-Verleihung - <a href='http://pr-panther.com/'>http://pr-panther.com/</a>
2014-05-16,,dj,Kombüse,Graz,"as Henry Bootz with Monique Fessl, <a href='https://www.facebook.com/kombuese.graz'>https://www.facebook.com/kombuese.graz</a>"
2014-05-06,,impro,Stockwerk,Graz,"STIO - Styrian Improvisers Orchestra meets Croatia, <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>"
2014-04-19,,dj,Kombüse,Graz,"Banana Rave - as Henry Bootz, <a href='https://www.facebook.com/kombuese.graz'>https://www.facebook.com/kombuese.graz</a>, <a href='https://www.facebook.com/events/277569909072002'>https://www.facebook.com/events/277569909072002</a>"
2014-04-01,,impro,Stockwerk,Graz,"STIO - Styrian Improvisers Orchestra feat. Ivana Sajko, ""Spoken Words"", <a href='http://vnm.mur.at/STIO'>http://vnm.mur.at/STIO</a>"
2014-03-29,,dj,Shisha Palace,Graz,"as Henry Bootz, <a href='http://www.shishapalacegraz.com/'>http://www.shishapalacegraz.com/</a>"
2013-09-12,,live,ESC,Graz,
2013-08-24,,dj,Eule Electronic Floor,Eisenerz,Rostfest - as Henry Bootz
2013-07-29,,dj,Kaiserfeldgasse,Graz,La Strada - as Henry Bootz with The CiTollConnection
2013-07-26,,"live, perf",Niesenberger,Graz,"""Tutner liest Tutner"""
2013-07-19,,dj,Niesenberger,Graz,"Homebase - moonbootz recordings - as Henry Bootz with Electric Indigo, Clemens Neufeld, Adam Weishaupt, DJ Flush u.a."
2013-07-19,,event,Niesenberger,Graz,"Homebase - moonbootz recordings - Electric Indigo, Clemens Neufeld, Adam Weishaupt, DJ Flush u.a."
2013-07-17,,dj,club wakuum,Graz,"Interpenetration - ""Minimaru"" Musik Markt"
2013-06-29,,event,Shisha Palace,Graz,SOULbRÜBER
2013-06-05,,"live, perf",club wakuum,Graz,"Interpenetration, ""Tutner liest Tutner"""
2013-05-30,,live,Sub,Graz,sprngbrk2013 - Henry Bootz live
2013-05-03,,live,Niesenberger,Graz,Niesenberger Inside with Elexx Ender as WNSTN
2013-04-06,,impro,Forum Stadtpark,Graz,"V:NM Festival with Barlomiej Kuzniak, Piotr Damasiewicz, Seppo Gruendler, Heimo Puschingg and Franz Schmuck"
2013-04-04,2013-04-07,event,,Graz,V:NM Festival
2012-12-05,,impro,club wakuum,Graz,"Interpenetration Impro Night, ""pd~Hendrix"" with Seppo Gründler"
2012-11-22,2012-11-24,live,,"Wroslaw, PL",V:NM - Styria meets Wroslaw
2012-11-05,,impro,Stockwerk,Graz,"STIO - Styrian Improvisers Orchestra, ""Elektronisch und Präpariert"""
2012-10-31,,dj,Niesenberger,Graz,Landlord Beats label night
2012-10-25,,live,Kabelwerk,Vienna,"Wien Modern, ""Dope Beat Rosengarten"""
2012-10-24,,dj,Schloßberg Tunnel,Graz,Elevate Festival
2012-10-19,,live,Niesenberger,Graz,Dope Beat Rosengarten release concert
2012-10-19,,release,chmafu nocords,Graz,"Dope Beat Rosengarten, Cat.No. cn45"
